date;breaches;d95;d99;ret
2017-01-08;0.0;-0.0661497847505166;-0.0935569029372141;0.0119235
2017-01-15;0.0;-0.059379775998312415;-0.08398195036400696;0.014860993999999999
2017-01-22;0.0;-0.05711071778011309;-0.08077277802460182;-0.0173594
2017-01-29;0.0;-0.055844572794157644;-0.07898204500858019;-0.01132089
2017-02-05;0.0;-0.05397331849476625;-0.07633549434300697;-0.022386580000000003
2017-02-12;0.0;-0.05391615684541994;-0.07625464953149635;-0.02621378
2017-02-19;0.0;-0.05182199778111934;-0.07329284040312532;-0.02351466
2017-02-26;0.0;-0.0511656344658572;-0.07236453324068896;0.012387690000000002
2017-03-05;0.0;-0.05068423922865643;-0.07168368677004527;0.00812463
2017-03-12;0.0;-0.04803025770513487;-0.06793011005426726;-0.002700938
2017-03-19;0.0;-0.047309321782319703;-0.06691047662070204;0.01009087
2017-03-26;0.0;-0.04630707665547806;-0.06549298221153865;-0.03681395
2017-04-02;0.0;-0.04597812033569256;-0.06502773301085225;0.018576429999999998
2017-04-09;0.0;-0.04512330857029576;-0.06381875641831401;0.016227524000000004
2017-04-16;0.0;-0.045253301107612345;-0.0640026073445439;0.0020100499999999998
2017-04-23;0.4478585;-0.044845476994689014;-0.06342581391895492;-0.055034559999999996
2017-04-30;0.0;-0.04299010881956026;-0.06080173130208804;0.002119440000000002
2017-05-07;0.0;-0.04458366266282132;-0.06305552491307988;0.033995609999999996
2017-05-14;0.0;-0.043638331780355116;-0.061718525405855464;0.03808877
2017-05-21;0.0;-0.04426608036893537;-0.0626063622142786;0.01844579
2017-05-28;0.0;-0.04495776467046248;-0.06358462452163495;-0.023110986
2017-06-04;0.0;-0.04509033236329981;-0.06377211753946062;-0.02297395
2017-06-11;0.0;-0.045010888689660744;-0.06365975883577538;0.0013661800000000007
2017-06-18;0.0;-0.04473681543623258;-0.06327213180319512;-0.019993745999999996
2017-06-25;0.0;-0.04467014759379084;-0.0631778422013789;-0.02610375
2017-07-02;0.0;-0.044712940029136714;-0.06323836435931486;-0.01077985
2017-07-09;0.0;-0.04356407303957103;-0.061613499851653306;-0.017493079999999998
2017-07-16;0.0;-0.04363704038687697;-0.061716698963415105;0.036104939999999995
2017-07-23;0.0;-0.04341476440845365;-0.06140232980534369;-0.012848150000000001
2017-07-30;0.0;-0.04355362878862617;-0.061598728348229895;0.05927135
2017-08-06;0.0;-0.038529931352368714;-0.054493617194769944;0.0134501
2017-08-13;0.0;-0.04063384554300714;-0.05746922318448179;-0.01682142
2017-08-20;0.0;-0.04070523650797955;-0.05757019278862651;-0.0068965699999999994
2017-08-27;0.0;-0.040948954066677784;-0.05791488718285955;0.010327099999999999
2017-09-03;0.0;-0.04083775339876323;-0.057757613956138217;0.011576570000000001
2017-09-10;0.0;-0.040831715832753294;-0.05774907491131292;-0.0013549899999999986
2017-09-17;0.0;-0.04075132540399693;-0.05763537719379795;0.03595599
2017-09-24;0.0;-0.03928642689579273;-0.055563543278361674;0.01878902
2017-10-01;0.0;-0.03969357065429279;-0.05613937446570632;0.022216087
2017-10-08;0.0;-0.03877518304130737;-0.054840481338678485;-0.00440392
2017-10-15;0.0;-0.038757747010407566;-0.054815821227437674;0.010661750000000001
2017-10-22;0.0;-0.03874430688421723;-0.05479681260048302;0.017316476
2017-10-29;0.0;-0.03854071702265052;-0.05450887157407706;0.0030609199999999982
2017-11-05;0.0;-0.03863019774858628;-0.05463542587236686;0.021681078
2017-11-12;0.0;-0.0376414010210235;-0.0532369517909451;0.02271465
2017-11-19;0.0;-0.03722029219151753;-0.052641369537175395;-0.03121506
2017-11-26;0.0;-0.037324665933268455;-0.05278898731194236;0.01212135
2017-12-03;0.0;-0.03716889528266157;-0.05256867790815127;0.011380731000000002
2017-12-10;0.0;-0.036704855182841084;-0.0519123771395;-0.006573049999999999
2017-12-17;0.0;-0.03625024937717516;-0.05126941947311017;0.015467310000000001
2017-12-24;0.0;-0.03587805836521871;-0.05074302262222032;0.032523180000000006
2017-12-31;0.0;-0.036002690286419774;-0.05091929192677911;0.0011421799999999996
2018-01-07;0.0;-0.036668373798620084;-0.05186078082160642;0.039725511
2018-01-14;0.0;-0.036608540716872175;-0.05177615775227013;0.01955521
2018-01-21;0.0;-0.03749385351110545;-0.05302827253195593;-0.021476964
2018-01-28;0.0;-0.037364653241837055;-0.05284554212554579;0.018244200000000002
2018-02-04;0.4478585;-0.03766029049350414;-0.05326366753235033;-0.038789130000000005
2018-02-11;0.0;-0.03729946222470788;-0.052753341225952016;-0.022191719999999998
2018-02-18;0.0;-0.03796589086517344;-0.05369588396990447;0.016372562
2018-02-25;0.0;-0.037914762770396224;-0.053623572529761805;0.030581719999999996
2018-03-04;0.0;-0.03797206447311167;-0.05370461542142509;-0.03400638
2018-03-11;0.0;-0.03844268343939001;-0.054370220806455025;0.019253129999999997
2018-03-18;0.0;-0.03943554664746955;-0.055774446188874026;0.00140114
2018-03-25;0.0;-0.039566326383899335;-0.05595941046583216;0.017763430000000004
2018-04-01;0.0;-0.03837654323877586;-0.054276677458544774;0.015830030000000002
2018-04-08;0.0;-0.03836153876910026;-0.054255456350745884;0.03328762
2018-04-15;0.0;-0.03835539467817662;-0.054246766645702264;0.041052450000000004
2018-04-22;0.0;-0.038893248964889056;-0.05500746422750244;-0.0010060199999999998
2018-04-29;0.0;-0.03702860311222976;-0.052370260014254225;0.03462263
2018-05-06;0.0;-0.03706045816842835;-0.052415313228139526;0.0014573670000000002
2018-05-13;0.0;-0.03708498466364389;-0.05245000151837243;0.05063783
